Counter, Data, Peaks
547,-25690,
548,-4706,
549,3074,
550,8828,
551,15180,
552,28859,
553,69762,
554,119262,
555,67868,
556,7238,
557,-7735,
558,14413,
559,46617,
560,49074,
561,51653,
562,56962,
563,46994,
564,30800,
565,-11798,
566,-28864,
567,-44000,
568,-29155,
569,-11124,
570,6729,
571,6161,
572,13914,
573,9904,
574,8398,
575,5979,
576,2623,
577,7892,
578,13208,
579,1633,
580,-18523,
581,-22460,
582,-6968,
583,11357,
584,5047,
585,-36055,
586,-105670,
587,-65061,
588,-11521,
589,2724,
590,-15811,
591,-49771,
592,-61205,
593,-68143,
594,-61981,
595,-37449,
596,-25824,
597,3454,
598,10310,
599,22878,
600,22955,
601,36003,
602,57063,
603,78977,78977,
604,48663,
605,11036,
606,9926,
607,31605,
608,39703,
609,48148,
610,40541,
611,38855,
612,32447,
613,16358,
614,-5446,
615,-28672,
616,-33441,
617,-25390,
618,-3963,
619,7380,
620,9727,
621,12159,
622,12782,
623,12913,
624,8915,
625,11162,
626,15617,
627,13453,
628,601,
629,-20641,
630,-28975,
631,-7815,
632,25468,
633,21999,
634,-12969,
635,-61846,
636,-50490,
637,-18318,
638,-20633,
639,-27806,
640,-48303,
641,-64642,
642,-64749,
643,-55904,
644,-31219,
645,-11847,
646,3846,
647,20878,
648,28898,
649,31647,
650,43624,
651,57302,
652,85071,85071,
653,72005,
654,17809,
655,-7946,
656,3427,
657,27193,
658,33009,
659,46914,
660,61213,
661,46991,
662,31253,
663,-17403,
664,-40654,
665,-55003,
666,-38876,
667,-5670,
668,12652,
669,19559,
670,16524,
671,3498,
672,16544,
673,9748,
674,3218,
675,7499,
676,13517,
677,5473,
678,-23368,
679,-42386,
680,-33302,
681,-7878,
682,-322,
683,-17772,
684,-61205,
685,-63299,
686,-25272,
687,-1273,
688,-7999,
689,-37134,
690,-50928,
691,-68409,
692,-73163,
693,-48510,
694,-31778,
695,458,
696,839,
697,15962,
698,19930,
699,31455,
700,61060,
701,93350,93350,
702,64492,
703,7774,
704,-9202,
705,11264,
706,37416,
707,36617,
708,31795,
709,35970,
710,39286,
711,38100,
712,-589,
713,-8181,
714,-36722,
715,-28116,
716,-2930,
717,5014,
718,12891,
719,10523,
720,5402,
721,10315,
722,5081,
723,-221,
724,-3917,
725,-1054,
726,1913,
727,-14127,
728,-34644,
729,-29816,
730,-22566,
731,-32228,
732,-60314,
733,-102366,
734,-73301,
735,-24434,
736,-13616,
737,-30637,
738,-53717,
739,-60071,
740,-67136,
741,-65073,
742,-42940,
743,-29814,
744,4209,
745,-7716,
746,20907,
747,29973,
748,33637,
749,42738,
750,68864,
751,107189,
752,118576,118576,
753,53035,
754,3347,
755,-1458,
756,19079,
757,19983,
758,16923,
759,40660,
760,47427,
761,36642,
762,25708,
763,3243,
764,13664,
765,28162,
766,29459,
767,39004,
768,37506,
769,32300,
770,28508,
771,24835,
772,20393,
773,15831,
774,2706,
775,331,
776,-2508,
777,-17175,
778,-44553,
779,-57734,
780,-55509,
781,-48436,
782,-53627,
783,-82543,
784,-99056,
785,-48694,
786,-9019,
787,-8540,
788,-28324,
789,-36017,
790,-41480,
791,-55274,
792,-47022,
793,-38374,
794,-35345,
795,-1589,
796,3152,
797,14261,
798,28551,
799,39692,
800,55076,
801,75563,
802,93818,93818,
803,66802,
804,15502,
805,-7305,
806,4994,
807,18624,
808,17656,
809,42164,
810,62695,
811,56983,
812,43045,
813,12443,
814,10006,
815,-10,
816,11525,
817,14609,
818,27032,
819,27609,
820,24676,
821,18185,
822,13841,
823,10621,
824,3512,
825,920,
826,11831,
827,-592,
828,-27902,
829,-46328,
830,-52506,
831,-50244,
832,-45113,
833,-60263,
834,-86945,
835,-70571,
836,-26939,
837,-8644,
838,-18665,
839,-34732,
840,-39743,
841,-56061,
842,-58070,
843,-49249,
844,-35548,
845,-2962,
846,2857,
847,22536,
848,29725,
849,35803,
850,35444,
851,56521,
852,80177,80177,
853,60385,
854,13926,
855,-7258,
856,7089,
857,28289,
858,22464,
859,35773,
860,60575,
861,55790,
862,34995,
863,17149,
864,226,
865,-6489,
866,3976,
867,11626,
868,14548,
869,16340,
870,12830,
871,8261,
872,7756,
873,2562,
874,-8528,
875,-6924,
876,1119,
877,3482,
878,-22757,
879,-46409,
880,-51346,
881,-33109,
882,-14782,
883,-26822,
884,-55038,
885,-50728,
886,-18570,
887,-2573,
888,-17522,
889,-42600,
890,-51555,
891,-58783,
892,-64456,
893,-52330,
894,-25502,
895,-15310,
896,-27,
897,17292,
898,23924,
899,29531,
900,38641,
901,60115,
902,82907,82907,
903,69909,
904,27288,
905,2096,
906,14077,
907,32468,
908,29109,
909,33840,
910,59155,
911,63391,
912,55798,
913,284,
914,-7338,
915,-17939,
916,-18884,
917,211,
918,8745,
919,13561,
920,13591,
921,10564,
922,11465,
923,2334,
924,-6865,
925,-10805,
926,-6049,
927,-4736,
928,-20245,
929,-38907,
930,-45998,
931,-34432,
932,-13470,
933,-19409,
934,-37854,
935,-34270,
936,-10314,
937,6409,
938,-4666,
939,-26427,
940,-42237,
941,-52768,
942,-77193,
943,-62985,
944,-55719,
945,-7696,
946,-13197,
947,4146,
948,17791,
949,24539,
950,38879,
951,60558,
952,94138,
953,104610,104610,
954,28389,
955,-9983,
956,-4432,
957,19973,
