x,y,z,avg,diff,localdata
-1.00247,1.05306,9.19882,83.4381,0.0163803,1.05482,0
-1.09288,1.06189,9.23939,83.5522,0.114113,0.829651,0
-1.02387,1.2493,9.10571,83.5345,-0.0177383,0.114243,0
-1.18628,1.26652,9.10167,83.7102,0.175674,-0.302017,0
-1.16158,1.27385,9.15107,84.06,0.349831,-1.25184,0
-0.973276,1.37519,9.30809,84.5182,0.458206,-1.10957,0
-1.19691,1.77321,9.15406,84.9148,0.396599,-0.535233,0
-1.09333,1.46695,9.22651,85.3539,0.439087,0.350891,0
-1.09063,1.53027,9.28789,85.6376,0.283661,0.391464,0
-0.869093,1.42354,8.93387,85.5806,-0.0569763,0.0456772,0
-0.820144,1.70466,9.15406,85.8919,0.311333,0.0715332,0
-0.84155,1.59493,9.14478,86.2827,0.390839,-0.263046,0
-0.827479,1.60077,9.42395,86.8791,0.596382,-0.482445,0
-0.798889,1.50632,9.55283,87.4267,0.547562,-0.482338,0
-1.07282,1.36651,9.52874,88.0463,0.619637,-0.468658,0
-0.88975,1.22894,9.81359,89.0081,0.961792,-0.520966,0
-1.06833,1.63325,9.68052,89.6824,0.674316,0.288055,0
-0.885259,1.3228,9.4271,89.9146,0.232208,0.0797729,0
-0.831521,1.33447,9.71001,90.6167,0.702087,0.950272,0
-0.614173,1.50707,9.58756,91.1616,0.544876,1.0174,0
-0.853375,1.69972,9.73665,91.8932,0.731606,0.707375,0
-0.750539,1.68505,9.87047,92.6026,0.709366,0.726746,0
-0.681383,1.61993,9.96702,93.4811,0.878517,0.90834,0
-0.684676,1.79103,10.1564,94.6281,1.14705,-0.160614,0
-0.824485,1.56455,10.0167,95.4823,0.854141,-0.0569077,0
-0.815804,1.66379,9.94786,96.7197,1.23737,-0.273338,0
-0.688568,1.86407,9.71899,97.4092,0.689514,-0.297768,0
-0.699944,1.64104,9.53203,97.8569,0.447716,0.0133667,0
-0.842448,1.4888,9.40958,97.8199,-0.036972,0.146179,0
-0.569416,1.62158,9.38878,97.6286,-0.191307,0.135483,0
-0.85577,1.52668,9.5211,97.6223,-0.00628662,-0.0256577,0
-0.905467,1.55661,9.41976,97.2077,-0.414604,0.151535,0
-0.93795,1.31082,9.17861,96.5404,-0.667267,-0.558182,0
-0.950074,1.48222,9.22547,96.3408,-0.199677,-0.869415,0
-1.03031,1.55242,9.53083,96.1878,-0.153015,-1.13197,0
-0.990939,1.49764,9.6675,96.32,0.132225,-1.33334,0
-1.13539,1.27161,9.56631,96.07,-0.249962,-0.0245056,0
-1.16143,1.43956,9.44551,95.5581,-0.511879,0.246597,0
-1.16682,1.7548,9.25076,94.7823,-0.775787,-0.174271,0
-1.18,1.74342,9.42021,93.9288,-0.853516,0.221588,0
-1.11817,1.83548,9.4259,93.3041,-0.624718,-0.302719,0
-0.739163,1.8762,9.00902,92.2313,-1.0728,0.106613,0
-1.04198,1.65451,8.95528,91.3321,-0.899223,0.610466,0
-1.04947,1.48312,8.9228,90.6368,-0.695328,0.756584,0
-0.965941,1.5611,8.48481,89.6302,-1.00653,0.78405,0
