Accuracy, Threshold, MoveMeanSize, MinHertz, MaxHertz, StepBuffer, PeakAverage
0.99363,13000,32,1.9,3.1,10,3,
0.99363,14000,32,1.9,3.1,10,3,
0.993222,13000,32,1.9,3,10,3,
0.993222,14000,32,1.9,3,10,3,
0.992406,15000,32,1.9,3.1,10,3,
0.991998,11000,32,1.9,3,10,3,
0.99159,11000,32,1.9,3.1,10,3,
0.99153,15000,32,1.9,3.2,10,3,
0.991181,15000,32,1.9,3,10,3,
0.990365,10000,32,1.9,3,10,3,
0.990365,12000,32,1.9,3.1,10,3,
0.989957,12000,32,1.9,3,10,3,
0.98971,14000,32,1.9,2.9,10,3,
0.989549,9000,32,1.9,3,10,3,
0.989489,14000,32,1.9,3.2,10,3,
0.989489,13000,32,1.9,3.2,10,3,
0.989141,10000,32,1.9,3.1,10,3,
0.988893,13000,32,1.9,2.9,10,3,
0.988733,9000,32,1.9,3.1,10,3,
0.988732,8000,32,1.9,3,10,3,
0.988324,8000,32,1.9,3.1,10,3,
0.988264,12000,32,1.9,3.2,10,3,
0.987448,11000,32,1.9,3.2,10,3,
0.986853,12000,32,1.9,2.9,10,3,
0.986036,11000,32,1.9,2.9,10,3,
0.985628,15000,32,1.9,2.9,10,3,
0.985445,8000,32,2,2.7,10,3,
0.985036,10000,32,2,2.7,10,3,
0.985036,9000,32,2,2.7,10,3,
0.984812,10000,32,1.9,2.9,10,3,
0.984183,10000,32,1.9,3.2,10,3,
0.983995,9000,32,1.9,2.9,10,3,
0.983812,11000,32,2,2.7,10,3,
0.983775,9000,32,1.9,3.2,10,3,
0.983366,8000,32,1.9,3.2,10,3,
0.983306,11000,32,2,2.9,10,3,
0.983183,11000,32,2,2.8,10,3,
0.982872,12000,32,1.9,2.8,10,3,
0.982872,11000,32,1.9,2.8,10,3,
0.982774,12000,32,2,2.8,10,3,
0.982771,8000,32,1.9,2.9,10,3,
0.982277,13000,32,1.8,3.2,10,3,
0.982082,10000,32,2,2.9,10,3,
0.981958,8000,32,2,2.8,10,3,
0.981674,12000,32,2,2.9,10,3,
0.981647,10000,32,1.9,2.8,10,3,
0.981647,9000,32,1.9,2.8,10,3,
0.981647,13000,32,1.9,2.8,10,3,
0.98155,10000,32,2,2.8,10,3,
0.981461,12000,32,1.8,3.2,10,3,
0.981239,8000,32,1.9,2.8,10,3,
0.981142,9000,32,2,2.8,10,3,
0.981053,14000,32,1.8,3.2,10,3,
0.981053,15000,32,1.8,3.2,10,3,
0.981053,11000,32,1.8,3.2,10,3,
0.980857,13000,32,2,2.9,10,3,
0.980449,14000,32,2,2.9,10,3,
0.980041,15000,32,2,2.9,10,3,
0.979828,10000,32,1.8,3.2,10,3,
0.97942,9000,32,1.8,3.2,10,3,
0.97942,8000,32,1.8,3.2,10,3,
0.979101,14000,32,2,2.8,10,3,
0.978977,15000,32,2,3.1,10,3,
0.978693,13000,32,2,2.8,10,3,
0.978357,12000,32,1.8,3,10,3,
0.978357,12000,32,1.8,3.1,10,3,
0.978098,12000,32,2,2.7,10,3,
0.977948,11000,32,1.8,3,10,3,
0.977948,11000,32,1.8,3.1,10,3,
0.97754,10000,32,1.8,3,10,3,
0.97754,13000,32,1.8,3,10,3,
0.97754,10000,32,1.8,3.1,10,3,
0.97754,13000,32,1.8,3.1,10,3,
0.977158,14000,32,1.9,2.8,10,3,
0.977132,9000,32,1.8,3,10,3,
0.977132,9000,32,1.8,3.1,10,3,
0.976341,15000,32,1.9,2.8,10,3,
0.976316,14000,32,1.8,3,10,3,
0.976316,8000,32,1.8,3,10,3,
0.976316,14000,32,1.8,3.1,10,3,
0.976316,15000,32,1.8,3.1,10,3,
0.976316,8000,32,1.8,3.1,10,3,
0.976057,13000,32,2,2.7,10,3,
0.975959,9000,32,2,2.9,10,3,
0.975836,15000,32,2,2.8,10,3,
0.9755,15000,32,1.8,3,10,3,
0.975143,8000,32,2,2.9,10,3,
0.974488,13000,32,2,3.1,10,3,
0.974488,14000,32,2,3.1,10,3,
0.974016,14000,32,2,2.7,10,3,
0.973956,8000,32,2,2.6,10,3,
0.973832,14000,32,2,3,10,3,
0.973424,13000,32,2,3,10,3,
0.973016,15000,32,2,3,10,3,
0.972323,9000,32,2,2.6,10,3,
0.971196,8000,32,1.9,2.7,10,3,
0.970691,11000,32,2,2.6,10,3,
0.97038,10000,32,1.9,2.7,10,3,
0.97038,9000,32,1.9,2.7,10,3,
0.970343,15000,32,2,2.7,10,3,
0.970283,10000,32,2,2.6,10,3,
0.96959,12000,32,2,3.1,10,3,
0.969564,11000,32,1.9,2.7,10,3,
0.96853,15000,32,2,3.2,10,3,
0.968526,12000,32,2,3,10,3,
0.968365,11000,32,2,3.1,10,3,
0.968339,12000,32,1.9,2.7,10,3,
0.968242,12000,32,2,2.6,10,3,
0.967713,14000,32,2,3.2,10,3,
0.967713,13000,32,2,3.2,10,3,
0.967523,13000,32,1.9,2.7,10,3,
0.967425,13000,32,2,2.6,10,3,
0.967301,11000,32,2,3,10,3,
0.966732,10000,32,2,3.1,10,3,
0.966324,8000,32,2,3.1,10,3,
0.965916,9000,32,2,3.1,10,3,
0.96589,14000,32,1.9,2.7,10,3,
0.965617,12000,32,1.8,2.9,10,3,
0.965617,11000,32,1.8,2.9,10,3,
0.965209,10000,32,1.8,2.9,10,3,
0.964976,14000,32,2,2.6,10,3,
0.964852,10000,32,2,3,10,3,
0.964801,13000,32,1.8,2.9,10,3,
0.964392,9000,32,1.8,2.9,10,3,
0.964036,9000,32,2,3,10,3,
0.963984,14000,32,1.8,2.9,10,3,
0.963576,15000,32,1.8,2.9,10,3,
0.963576,8000,32,1.8,2.9,10,3,
0.963344,15000,32,2,2.6,10,3,
0.96322,8000,32,2,3,10,3,
0.962407,12000,32,2,3.2,10,3,
0.962217,15000,32,1.9,2.7,10,3,
0.960906,8000,32,2,2.5,10,3,
0.959958,11000,32,2,3.2,10,3,
0.959906,8000,32,1.9,2.6,10,3,
0.959596,11000,32,1.8,2.8,10,3,
0.959274,9000,32,2,2.5,10,3,
0.959187,9000,32,1.8,2.8,10,3,
0.959187,10000,32,1.8,2.8,10,3,
0.959187,8000,32,1.8,2.8,10,3,
0.958779,12000,32,1.8,2.8,10,3,
0.958682,9000,32,1.9,2.6,10,3,
0.958274,10000,32,1.9,2.6,10,3,
0.957963,13000,32,1.8,2.8,10,3,
0.957917,10000,32,2,3.2,10,3,
0.957555,15000,32,1.8,2.8,10,3,
0.957555,14000,32,1.8,2.8,10,3,
0.956693,9000,32,2,3.2,10,3,
0.956693,8000,32,2,3.2,10,3,
0.956233,11000,32,1.9,2.6,10,3,
0.955192,10000,32,2,2.5,10,3,
0.953559,11000,32,2,2.5,10,3,
0.953367,9000,32,2.1,2.9,10,3,
0.952959,8000,32,2.1,2.9,10,3,
0.95011,12000,32,1.9,2.6,10,3,
0.949702,13000,32,1.9,2.6,10,3,
0.949694,11000,32,2.1,2.9,10,3,
0.948478,14000,32,1.9,2.6,10,3,
0.94807,15000,32,1.9,2.6,10,3,
0.947245,10000,32,2.1,2.9,10,3,
0.947029,12000,32,2,2.5,10,3,
0.94458,13000,32,2,2.5,10,3,
0.944224,8000,32,1.8,2.7,10,3,
0.944224,9000,32,1.8,2.7,10,3,
0.944224,10000,32,1.8,2.7,10,3,
0.943816,11000,32,1.8,2.7,10,3,
0.943344,12000,32,1.7,3.2,10,3,
0.943344,11000,32,1.7,3.2,10,3,
0.942999,12000,32,1.8,2.7,10,3,
0.942999,13000,32,1.8,2.7,10,3,
0.942936,13000,32,1.7,3.2,10,3,
0.942528,10000,32,1.7,3.2,10,3,
0.94212,15000,32,1.7,3.2,10,3,
0.94212,14000,32,1.7,3.2,10,3,
0.941367,15000,32,1.8,2.7,10,3,
0.941367,14000,32,1.8,2.7,10,3,
0.941315,14000,32,2,2.5,10,3,
0.940691,12000,32,2.1,3,10,3,
0.940283,11000,32,2.1,3,10,3,
0.939611,10000,32,1.7,3.1,10,3,
0.939263,9000,32,1.7,3.2,10,3,
0.939263,8000,32,1.7,3.2,10,3,
0.939203,11000,32,1.7,3.1,10,3,
0.939203,12000,32,1.7,3.1,10,3,
0.938794,13000,32,1.7,3.1,10,3,
0.938242,14000,32,2.1,3,10,3,
0.937978,15000,32,1.7,3.1,10,3,
0.937978,14000,32,1.7,3.1,10,3,
0.937641,15000,32,2,2.5,10,3,
0.93751,9000,32,1.8,2.6,10,3,
0.93751,8000,32,1.8,2.6,10,3,
0.937102,10000,32,1.8,2.6,10,3,
0.936754,9000,32,1.7,3.1,10,3,
0.936694,11000,32,1.8,2.6,10,3,
0.936524,15000,32,2.1,3.1,10,3,
0.936224,12000,32,2.1,2.9,10,3,
0.935793,15000,32,2.1,3,10,3,
0.935529,8000,32,1.7,3.1,10,3,
0.934899,8000,32,2.1,2.7,10,3,
0.934653,12000,32,1.8,2.6,10,3,
0.934245,13000,32,1.8,2.6,10,3,
0.934161,13000,32,2.1,3,10,3,
0.933752,9000,32,2.1,3,10,3,
0.933752,10000,32,2.1,3,10,3,
0.933675,9000,32,2.1,2.7,10,3,
0.933428,10000,32,1.7,3,10,3,
0.933056,8000,32,2.1,2.8,10,3,
0.932612,11000,32,1.7,3,10,3,
0.932612,12000,32,1.7,3,10,3,
0.932204,13000,32,1.7,3,10,3,
0.932034,12000,32,2.1,3.1,10,3,
0.931796,15000,32,1.8,2.6,10,3,
0.931796,14000,32,1.8,2.6,10,3,
0.931387,9000,32,1.7,3,10,3,
0.931217,14000,32,2.1,3.1,10,3,
0.930918,13000,32,2.1,2.9,10,3,
0.930809,13000,32,2.1,3.1,10,3,
0.930571,14000,32,1.7,3,10,3,
0.930571,15000,32,1.7,3,10,3,
0.930163,8000,32,1.7,3,10,3,
0.930079,8000,32,2.1,3,10,3,
0.929856,8000,32,1.8,2.5,10,3,
0.929791,9000,32,2.1,2.8,10,3,
0.929448,9000,32,1.8,2.5,10,3,
0.929185,10000,32,2.1,2.7,10,3,
0.92904,10000,32,1.8,2.5,10,3,
0.928631,11000,32,1.8,2.5,10,3,
0.92836,11000,32,2.1,3.1,10,3,
0.927342,10000,32,2.1,2.8,10,3,
0.926591,12000,32,1.8,2.5,10,3,
0.926591,13000,32,1.8,2.5,10,3,
0.925911,10000,32,2.1,3.1,10,3,
0.925103,11000,32,2.1,2.7,10,3,
0.92504,8000,32,1.9,2.5,10,3,
0.924279,9000,32,2.1,3.1,10,3,
0.923979,15000,32,2.1,2.9,10,3,
0.923908,15000,32,2.1,3.2,10,3,
0.923655,8000,32,2.1,2.6,10,3,
0.922999,10000,32,1.9,2.5,10,3,
0.922755,14000,32,2.1,2.9,10,3,
0.922591,9000,32,1.9,2.5,10,3,
0.922509,14000,32,1.8,2.5,10,3,
0.922509,15000,32,1.8,2.5,10,3,
0.922275,14000,32,2.1,3.2,10,3,
0.922247,10000,32,1.9,2.4,10,3,
0.921614,9000,32,2.1,2.6,10,3,
0.92143,11000,32,1.9,2.4,10,3,
0.921206,12000,32,2.1,2.6,10,3,
0.921051,13000,32,2.1,3.2,10,3,
0.920959,11000,32,1.9,2.5,10,3,
0.920505,10000,32,1.7,2.9,10,3,
0.920403,11000,32,2.1,2.8,10,3,
0.920235,12000,32,2.1,3.2,10,3,
0.920225,9000,32,2,2.4,10,3,
0.919797,8000,32,1.9,2.4,10,3,
0.919689,11000,32,1.7,2.9,10,3,
0.919381,8000,32,2.1,3.1,10,3,
0.919281,9000,32,1.7,2.9,10,3,
0.919281,8000,32,1.7,2.9,10,3,
0.919,10000,32,2,2.4,10,3,
0.918981,12000,32,1.9,2.4,10,3,
0.918873,12000,32,1.7,2.9,10,3,
0.91851,14000,32,1.9,2.5,10,3,
0.918464,13000,32,1.7,2.9,10,3,
0.917776,8000,32,2,2.4,10,3,
0.917532,11000,32,2.1,2.6,10,3,
0.917377,10000,32,2.1,3.2,10,3,
0.917368,11000,32,2,2.4,10,3,
0.917349,13000,32,1.9,2.4,10,3,
0.917348,12000,32,2.1,2.7,10,3,
0.91724,14000,32,1.7,2.9,10,3,
0.91724,15000,32,1.7,2.9,10,3,
0.916969,11000,32,2.1,3.2,10,3,
0.91694,14000,32,1.9,2.4,10,3,
0.916895,8000,32,1.8,2.4,10,3,
0.916877,12000,32,1.9,2.5,10,3,
0.91681,9000,32,1.7,2.8,10,3,
0.91681,8000,32,1.7,2.8,10,3,
0.91673,12000,32,2.1,2.8,10,3,
0.916487,9000,32,1.8,2.4,10,3,
0.916469,15000,32,1.9,2.5,10,3,
0.916469,13000,32,1.9,2.5,10,3,
0.915716,9000,32,1.9,2.4,10,3,
0.915716,15000,32,1.9,2.4,10,3,
0.915716,13000,32,2.1,2.7,10,3,
0.915698,8000,32,1.8,2.3,10,3,
0.915671,11000,32,1.8,2.4,10,3,
0.915671,10000,32,1.8,2.4,10,3,
0.915491,13000,32,2.1,2.6,10,3,
0.914769,10000,32,1.7,2.8,10,3,
0.914361,11000,32,1.7,2.8,10,3,
0.914065,9000,32,1.8,2.3,10,3,
0.913657,10000,32,1.8,2.3,10,3,
0.913657,13000,32,1.8,2.3,10,3,
0.913657,12000,32,1.8,2.3,10,3,
0.913657,11000,32,1.8,2.3,10,3,
0.913544,12000,32,1.7,2.8,10,3,
0.913056,13000,32,2.1,2.8,10,3,
0.912814,12000,32,1.8,2.4,10,3,
0.912728,13000,32,1.7,2.8,10,3,
0.912406,13000,32,1.8,2.4,10,3,
0.912071,9000,32,2.1,3.2,10,3,
0.911503,15000,32,1.7,2.8,10,3,
0.911503,14000,32,1.7,2.8,10,3,
0.911424,14000,32,2.1,2.8,10,3,
0.911245,12000,32,2,2.4,10,3,
0.911001,8000,32,2.2,2.6,10,3,
0.910185,10000,32,2.1,2.6,10,3,
0.909622,8000,32,2.1,3.2,10,3,
0.909204,13000,32,2,2.4,10,3,
0.909185,15000,32,2.1,2.7,10,3,
0.908732,14000,32,1.8,2.4,10,3,
0.908144,9000,32,2.2,2.6,10,3,
0.907796,8000,32,2,2.3,10,3,
0.907534,15000,32,1.8,2.3,10,3,
0.907534,14000,32,1.8,2.3,10,3,
0.907328,14000,32,2.1,2.6,10,3,
0.905587,8000,32,2.1,2.5,10,3,
0.905059,15000,32,1.8,2.4,10,3,
0.904879,15000,32,2.1,2.6,10,3,
0.904879,10000,32,2.2,2.6,10,3,
0.904695,14000,32,2.1,2.7,10,3,
0.904485,15000,32,2.1,2.8,10,3,
0.903767,9000,32,2.1,2.4,10,3,
0.903415,9000,32,1.7,2.7,10,3,
0.903415,8000,32,1.7,2.7,10,3,
0.903138,9000,32,2.1,2.5,10,3,
0.903082,14000,32,2,2.4,10,3,
0.903007,11000,32,1.7,2.7,10,3,
0.903007,10000,32,1.7,2.7,10,3,
0.902191,11000,32,1.7,2.6,10,3,
0.902191,12000,32,1.7,2.7,10,3,
0.902191,13000,32,1.7,2.7,10,3,
0.902134,8000,32,2.1,2.4,10,3,
0.902082,9000,32,2,2.3,10,3,
0.901848,10000,32,2.2,3,10,3,
0.901783,8000,32,1.7,2.6,10,3,
0.901783,9000,32,1.7,2.6,10,3,
0.901674,10000,32,2,2.3,10,3,
0.901505,10000,32,2.1,2.5,10,3,
0.901374,10000,32,1.7,2.6,10,3,
0.900809,10000,32,1.7,2.5,10,3,
0.900809,8000,32,1.7,2.5,10,3,
0.900809,9000,32,1.7,2.5,10,3,
0.900809,11000,32,1.7,2.5,10,3,
0.900633,15000,32,2,2.4,10,3,
0.900623,8000,32,2.2,3,10,3,
0.900563,12000,32,2.2,3.1,10,3,
0.900558,15000,32,1.7,2.7,10,3,
0.900558,14000,32,1.7,2.7,10,3,
0.90015,13000,32,1.7,2.6,10,3,
0.90015,12000,32,1.7,2.6,10,3,
0.899339,13000,32,2.2,3.1,10,3,
0.89922,8000,32,2.2,2.7,10,3,
0.899177,13000,32,1.7,2.5,10,3,
0.899177,12000,32,1.7,2.5,10,3,
0.898925,14000,32,1.7,2.6,10,3,
0.898925,15000,32,1.7,2.6,10,3,
0.898583,11000,32,2.2,3,10,3,
0.898523,14000,32,2.2,3.1,10,3,
0.898404,9000,32,2.2,2.7,10,3,
0.89836,14000,32,1.7,2.5,10,3,
0.897544,15000,32,1.7,2.5,10,3,
0.897271,11000,32,1.6,3.2,10,3,
0.897271,12000,32,1.6,3.2,10,3,
0.897179,10000,32,2.2,2.7,10,3,
0.89695,9000,32,2.2,3,10,3,
0.896862,8000,32,1.6,3.2,10,3,
0.896862,10000,32,1.6,3.2,10,3,
0.896862,9000,32,1.6,3.2,10,3,
0.896542,12000,32,2.2,3,10,3,
0.896454,13000,32,1.6,3.2,10,3,
0.895725,13000,32,2.2,3,10,3,
0.895551,11000,32,2,2.3,10,3,
0.895257,10000,32,2.2,3.1,10,3,
0.894915,8000,32,1.9,2.3,10,3,
0.894441,11000,32,2.2,3.1,10,3,
0.894379,10000,32,2.1,2.4,10,3,
0.894158,11000,32,2.1,2.5,10,3,
0.893625,15000,32,2.2,3.1,10,3,
0.893597,15000,32,1.6,3.2,10,3,
0.893597,14000,32,1.6,3.2,10,3,
0.893511,13000,32,2,2.3,10,3,
0.892955,8000,32,2.2,2.9,10,3,
0.892934,12000,32,2.1,2.5,10,3,
0.892868,14000,32,2.2,3,10,3,
0.892526,13000,32,2.1,2.5,10,3,
0.891932,14000,32,2.2,3.2,10,3,
0.891524,13000,32,2.2,3.2,10,3,
0.89147,12000,32,2,2.3,10,3,
0.890914,9000,32,2.2,2.9,10,3,
0.890653,15000,32,2,2.3,10,3,
0.890425,12000,32,1.9,2.3,10,3,
0.888579,8000,32,1.6,3.1,10,3,
0.888465,10000,32,2.2,2.9,10,3,
0.888384,11000,32,1.9,2.3,10,3,
0.888384,10000,32,1.9,2.3,10,3,
0.888258,12000,32,2.2,3.2,10,3,
0.888257,12000,32,2.1,2.4,10,3,
0.888036,14000,32,2.1,2.5,10,3,
0.88791,9000,32,2.2,3.1,10,3,
0.887796,14000,32,2,2.3,10,3,
0.887785,11000,32,1.7,2.4,10,3,
0.887785,10000,32,1.7,2.4,10,3,
0.887785,9000,32,1.7,2.4,10,3,
0.887785,8000,32,1.7,2.4,10,3,
0.887568,9000,32,1.9,2.3,10,3,
0.887542,10000,32,1.6,2.8,10,3,
0.887542,9000,32,1.6,2.8,10,3,
0.887542,8000,32,1.6,2.8,10,3,
0.887365,9000,32,2.2,2.5,10,3,
0.887134,11000,32,1.6,2.8,10,3,
0.887134,12000,32,1.6,2.8,10,3,
0.886946,12000,32,1.6,3.1,10,3,
0.886946,11000,32,1.6,3.1,10,3,
0.886919,11000,32,2.2,2.6,10,3,
0.886725,12000,32,1.6,3,10,3,
0.886725,11000,32,1.6,3,10,3,
0.886725,10000,32,1.6,2.9,10,3,
0.886725,8000,32,1.6,2.9,10,3,
0.886725,13000,32,1.6,2.8,10,3,
0.886725,9000,32,1.6,2.9,10,3,
0.886624,13000,32,2.1,2.4,10,3,
0.886538,10000,32,1.6,3.1,10,3,
0.886538,9000,32,1.6,3.1,10,3,
0.886511,12000,32,2.2,2.6,10,3,
0.886511,13000,32,2.2,2.6,10,3,
0.886317,9000,32,1.6,3,10,3,
0.886317,8000,32,1.6,3,10,3,
0.886317,12000,32,1.6,2.9,10,3,
0.886317,10000,32,1.6,3,10,3,
0.886317,11000,32,1.6,2.9,10,3,
0.885745,13000,32,1.7,2.4,10,3,
